r0	r1	Real	Imag r
33	37	-0.1363105675149868	-0.0906891518763811	1.0
33	41	0.00897800570041664	0.09409213369207943	2.0
33	45	0.0582084969270424	-0.0594497442473731	3.0
33	49	-0.07975626883960618	1.6118847586968745e-6	4.0
33	53	0.05361531504904071	0.05385348108220742	5.0
33	57	3.915379135508351e-6	-0.07138602701495377	6.0
33	61	-0.047771988593673015	0.047836684560341285	7.0
33	65	0.06558521605289654	-1.0046230527018555e-7	8.0
33	69	-0.04551549406630659	-0.04555217897393856	9.0
33	73	-2.6730292068163274e-5	0.06251445842697755	10.0
33	77	0.042244526505037204	-0.04222671883688005	11.0
33	81	-0.057196418874306196	-1.1620296659345962e-8	12.0
33	85	0.03952491805546357	0.039515457466926515	13.0
33	89	-7.010414377665305e-6	-0.055386496208343815	14.0
33	93	-0.03846392603422019	0.03846852492569827	15.0
33	97	0.05235224605332908	-9.308036428067106e-8	16.0
33	101	-0.03540062670331994	-0.03540217747148657	17.0
33	105	-9.804425768336111e-7	0.04874682130328921	18.0
33	109	0.03428872046491415	-0.03428815819273044	19.0
33	113	-0.04808282479677958	1.013669304716384e-7	20.0
33	117	0.03279681630529442	0.03279630654924287	21.0
33	121	-3.3528903698013277e-7	-0.04381152695690903	22.0
33	125	-0.029871491834956222	0.029871886204673112	23.0
34	38	-0.1363182554774673	-0.09069305447141655	1.0
34	42	0.00898087024625351	0.09409472128048574	2.0
34	46	0.05821161097206578	-0.05945141318779067	3.0
34	50	-0.07976479780200456	-9.340945883006165e-7	4.0
34	54	0.05361875247209902	0.05386338714635137	5.0
34	58	4.789866488441747e-6	-0.07139868389631486	6.0
34	62	-0.047780384905808715	0.04784504219068505	7.0
34	66	0.0655938109509515	-3.0501436497943426e-7	8.0
34	70	-0.04552010638735764	-0.045556362375392775	9.0
34	74	-2.6111714761667846e-5	0.06251875213462955	10.0
34	78	0.04224595998537884	-0.04222897586066407	11.0
34	82	-0.057198133178791806	4.16588389037865e-7	12.0
34	86	0.039526064439793535	0.039516275149031894	13.0
34	90	-7.155840334028979e-6	-0.05538787299907728	14.0
34	94	-0.03846453341572878	0.038469671406159936	15.0
34	98	0.05235295072457182	-4.442893526717945e-7	16.0
34	102	-0.03540102314662929	-0.035402101464025254	17.0
34	106	-7.920156003265127e-7	0.04874682938457898	18.0
34	110	0.03428868264146984	-0.03428839365397569	19.0
34	114	-0.048082924640303656	4.7559456001323035e-7	20.0
34	118	0.032796968589719304	0.0327959181927149	21.0
34	122	-6.805994259395122e-7	-0.043811182136428026	22.0
34	126	-0.0298710471744058	0.029871840134695318	23.0
35	39	-0.13631670689108868	-0.09069248947339591	1.0
35	43	0.008980637485213267	0.09409447887827703	2.0
35	47	0.05821161682524123	-0.059451253083402385	3.0
35	51	-0.07976526046139903	-1.0851785768730618e-6	4.0
35	55	0.05361892192609915	0.05386369089299567	5.0
35	59	4.823638354614538e-6	-0.07139908399634011	6.0
35	63	-0.04778050377761292	0.04784515120291123	7.0
35	67	0.06559371198045572	-3.518839552999954e-7	8.0
35	71	-0.045519873642045426	-0.04555626431107043	9.0
35	75	-2.6301414322753106e-5	0.06251866331957738	10.0
35	79	0.04224599232822164	-0.0422290854110986	11.0
35	83	-0.05719811894272161	4.750853328941918e-7	12.0
35	87	0.03952592433143085	0.039516143594547956	13.0
35	91	-7.083900799460929e-6	-0.05538759084740998	14.0
35	95	-0.038464543164702	0.03846948711010741	15.0
35	99	0.0523531570368647	-5.053667050730339e-7	16.0
35	103	-0.03540122941450622	-0.035402191742242704	17.0
35	107	-7.458912614364325e-7	0.04874691253907028	18.0
35	111	0.034288684685943725	-0.03428838938390717	19.0
35	115	-0.04808303630509282	4.2124121593871573e-7	20.0
35	119	0.03279713444636915	0.032796012161868955	21.0
35	123	-7.615625621913362e-7	-0.04381140778773912	22.0
35	127	-0.029871189623948215	0.029871962733339197	23.0
36	40	-0.1363071115538618	-0.0906878081637138	1.0
36	44	0.00897717076741549	0.09409153660743555	2.0
36	48	0.058208683452038626	-0.05944914105502173	3.0
36	52	-0.07975636931674883	1.3856323269010517e-6	4.0
36	56	0.0536152502825934	0.05385351966110668	5.0
36	60	4.056209587957381e-6	-0.07138605227670733	6.0
36	64	-0.04777192319196009	0.0478365706802085	7.0
36	68	0.0655848288298041	-9.389376699009578e-8	8.0
36	72	-0.04551511267451869	-0.04555192742101599	9.0
36	76	-2.6790725076733507e-5	0.06251400816105845	10.0
36	80	0.04224422917854276	-0.042226365664236314	11.0
36	84	-0.05719603342803261	-4.9277438585235974e-8	12.0
36	88	0.03952466942566864	0.039515183720086285	13.0
36	92	-6.918753484281629e-6	-0.05538598779858971	14.0
36	96	-0.038463640227374016	0.038468214248188644	15.0
36	100	0.05235202097180653	-4.5428383631293195e-9	16.0
36	104	-0.035400595215356316	-0.035402110516464295	17.0
36	108	-9.95662303030421e-7	0.048746747834557735	18.0
36	112	0.03428871656000775	-0.03428810778840821	19.0
36	116	-0.04808279926226208	2.160221229738498e-7	20.0
36	120	0.032796903066495804	0.0327962457350875	21.0
36	124	-4.575781380081383e-7	-0.04381160321765786	22.0
36	128	-0.029871479260421847	0.02987199790340323	23.0
