r0	r1	Real	Imag
33	37	0.8342476059911811	-1.2062568842855927e-17	1.0
33	41	0.833375120438564	9.11074929322261e-17	2.0
33	45	0.8364181425038432	1.6383719561752914e-16	3.0
33	49	0.837601946085647	2.1418249992608219e-16	4.0
33	53	0.8351621569097216	3.779371248934223e-16	5.0
33	57	0.837190590952025	2.810666297170286e-16	6.0
33	61	0.8376138771834577	2.2495900651415667e-17	7.0
33	65	0.8353605171078532	-1.2224380608187716e-17	8.0
33	69	0.8374283103647816	-1.1205744354300907e-16	9.0
33	73	0.8374456064506621	-2.5859415726901942e-16	10.0
33	77	0.8353827874413825	-4.2835134785460614e-16	11.0
33	81	0.8376415593687921	-4.040354035074035e-16	12.0
33	85	0.8372702916903736	-4.518849602867307e-16	13.0
33	89	0.8353222020386127	-5.559045918789452e-16	14.0
33	93	0.8379233866471484	-5.500950609344205e-16	15.0
33	97	0.8370828280645428	-4.776601110451564e-16	16.0
33	101	0.8351630678148856	-3.837253797233903e-16	17.0
33	105	0.8383369119551993	-2.503913420565324e-16	18.0
33	109	0.8367987184439025	-1.9764452062438826e-16	19.0
33	113	0.8348421981154387	-4.1112644599016365e-16	20.0
33	117	0.839146918061311	3.064853190195111e-17	21.0
33	121	0.8362659910348119	-3.150505096933439e-17	22.0
33	125	0.8341344412489137	-7.801458458350507e-17	23.0
