r0	r1	Real	Imag
33	37	0.17693146030470022	0.023735978211244967	1.0
33	41	0.12205772459402384	0.00665008109805334	2.0
33	45	0.11105448480202523	0.00048267069611850863	3.0
33	49	0.10442447443181783	5.2162369342182156e-8	4.0
33	53	0.0978324816004134	-0.0001616232854861093	5.0
33	57	0.09431421252228105	-3.4925760130888804e-5	6.0
33	61	0.09076470492350187	-4.095031654202583e-6	7.0
33	65	0.08679584534595157	-2.8167001692229125e-7	8.0
33	69	0.08488552428993033	-1.5844518190185465e-7	9.0
33	73	0.0824868223898431	3.8111623358462797e-7	10.0
33	77	0.0796330826050739	5.075706877389598e-8	11.0
33	81	0.07847339741303065	-1.1707311570127705e-7	12.0
33	85	0.0765549034557333	-8.229910820653297e-8	13.0
33	89	0.07425551639563437	-5.018746952710294e-8	14.0
33	93	0.07352141807761424	-3.5890826594973284e-8	15.0
33	97	0.07176013253733526	-1.870676286931865e-8	16.0
33	101	0.0697256070666019	-9.911519489898236e-9	17.0
33	105	0.06928124033768937	6.048455953988027e-9	18.0
33	109	0.06744401651374664	1.5507487646513118e-8	19.0
33	113	0.0654581102791534	2.7269588921206623e-8	20.0
