r0	r1	Real	Imag
33	37	-0.024221452951490793	-6.635039739855131e-13	1.0
33	41	-0.010818915049965828	4.852611368288962e-13	2.0
33	45	0.0014733100649635862	-3.7747365996820825e-14	3.0
33	49	0.007771534923687101	5.875517420667095e-13	4.0
33	53	0.004578841966465604	5.314938484983489e-13	5.0
33	57	-0.00017392273456637763	2.2295292917634893e-13	6.0
33	61	-0.00308932465841696	2.8949621020714356e-15	7.0
33	65	-0.002217693032413349	-1.0483206676849637e-13	8.0
33	69	0.00032456266056190956	-9.260560136244546e-14	9.0
33	73	0.0018657813753544332	3.211858676686843e-14	10.0
33	77	0.001300568373423471	1.724177363094493e-13	11.0
33	81	-0.00027914614220223585	1.6378206218154628e-13	12.0
33	85	-0.0011975916184017517	-1.2922879550194487e-14	13.0
33	89	-0.000800112139513914	-1.8690416608814544e-13	14.0
33	93	0.00021528891091313935	-1.7685115756742897e-13	15.0
33	97	0.0007796500537010785	6.815072898663319e-15	16.0
33	101	0.0005035017524779725	1.907768549171775e-13	17.0
33	105	-0.000145053146005857	1.7704073830371688e-13	18.0
33	109	-0.000492594100443916	-1.3687790072719164e-14	19.0
33	113	-0.000317748574109854	-1.8575737016402336e-13	20.0
