r0	r1	Real	Imag
33	37	0.057769094069397176	-2.314456113089794e-9	1.0
33	41	0.007044092413106826	2.528409202492976e-9	2.0
33	45	-0.0052288475538846205	1.4948548430180914e-9	3.0
33	49	0.0011132418652065514	-8.455407460620592e-11	4.0
33	53	-0.0011290334307665463	-1.3203626082021122e-9	5.0
33	57	-0.0013217380404602244	5.059120592072752e-11	6.0
33	61	-0.0026915975418911413	1.8685466845677623e-10	7.0
33	65	0.006959739809840345	-2.5771482240686345e-10	8.0
33	69	-0.002088597927808588	-1.0021552047413673e-9	9.0
33	73	-0.0010571291692292445	-1.901406072629848e-9	10.0
33	77	-0.0004101246880404368	5.681115660573894e-9	11.0
33	81	0.0007023436751648431	-1.1201031451524917e-10	12.0
33	85	-0.0017029708443480275	-4.27369464189658e-9	13.0
33	89	0.0013951678840056095	1.6729010262565153e-9	14.0
33	93	0.0008397152545444751	2.1782742298283309e-10	15.0
33	97	-0.00015126644553894303	6.018699491625906e-12	16.0
33	101	-0.0006608470876482819	-4.320788017739968e-10	17.0
33	105	-0.0008439527279275828	2.8353900117551734e-9	18.0
33	109	0.0010483578772796708	-3.4233586309413613e-9	19.0
33	113	-0.000430965941413964	-4.026253177841797e-11	20.0
33	117	0.0002178390540501713	2.2876683438586502e-10	21.0
33	121	0.0001994401452362431	1.0813015343953247e-9	22.0
33	125	0.0006681143961217445	1.9677913974929656e-10	23.0
