r0	r1	Real	Imag
13	16	0.837497639379458	-2.7443590895619365e-17	1.0
13	19	0.8354282281501362	-1.3605099712380173e-16	2.0
13	22	0.843334780696443	-2.9476890923855073e-16	3.0
13	25	0.8474296737951726	-4.614498174838324e-16	4.0
13	28	0.8421944634790575	-4.3569078111212446e-16	5.0
13	31	0.839880602437796	-5.473236335900151e-16	6.0
13	34	0.8449723609428191	-6.226503150475625e-16	7.0
13	37	0.8465475558136099	-6.332775956811106e-16	8.0
13	40	0.8420080371620082	-3.7892025982906193e-16	9.0
13	43	0.8410758566703185	-1.9966831794500187e-16	10.0
13	46	0.845222615092269	1.3500012715531865e-17	11.0
13	49	0.8459274983048632	3.959828772692948e-17	12.0
13	52	0.8419431653770556	5.870956966578014e-17	13.0
13	55	0.8414959862694056	2.6922281432785107e-16	14.0
13	58	0.8455616565107273	2.0787842947280283e-16	15.0
13	61	0.8456082936515915	3.8793568465133707e-16	16.0
13	64	0.8415523269950255	2.516689790901116e-16	17.0
13	67	0.8419194923354784	4.441497615737208e-17	18.0
13	70	0.8459113015816013	2.5083280307381965e-16	19.0
13	73	0.8453182501208001	1.648190166004893e-16	20.0
13	76	0.8411895544521993	1.847998131712917e-16	21.0
13	79	0.8420219546691861	3.0051833448668045e-17	22.0
13	82	0.8465777780229977	-2.9869851190256785e-17	23.0
13	85	0.8451952169449831	1.6378257332906395e-16	24.0
13	88	0.8401829720744322	-1.6856282740398266e-17	25.0
13	91	0.8423406258409373	1.755756661777251e-16	26.0
13	94	0.8477207195457065	2.238378189290591e-16	27.0
13	97	0.8448419992439185	2.020232783227409e-16	28.0
13	100	0.838556684567897	1.3564117481365536e-16	29.0
13	103	0.8422707194553963	1.3985731671150506e-16	30.0
13	106	0.850872291067537	6.867600673359249e-18	31.0
13	109	0.8442796576855937	4.5651423000928914e-17	32.0
