r0	r1	Real	Imag
13	16	0.8374972049276168	2.1770104978504233e-16	1.0
13	19	0.8354275647528944	3.363292873316606e-16	2.0
13	22	0.8433349884175024	2.546010548533532e-16	3.0
13	25	0.8474302812135579	4.0296131467326516e-16	4.0
13	28	0.8421942675152646	5.096748271920184e-16	5.0
13	31	0.8398801286620656	5.1199284561241e-16	6.0
13	34	0.8449729163070563	2.24146820375462e-16	7.0
13	37	0.8465484357484265	2.9592989143256295e-16	8.0
13	40	0.8420080310792958	8.206876213900098e-17	9.0
13	43	0.8410757412626666	-1.597033483609035e-16	10.0
13	46	0.8452234940631518	-3.1736991886765257e-16	11.0
13	49	0.8459285851721391	-1.8182139200579371e-16	12.0
13	52	0.8419433566538856	-4.182822953871202e-16	13.0
13	55	0.841496086946093	-2.7159172109724303e-16	14.0
13	58	0.8455627118277481	-4.2451242556526896e-16	15.0
13	61	0.8456093571388869	-5.952186605477368e-16	16.0
13	64	0.8415524149462054	-5.3161968347383065e-16	17.0
13	67	0.8419196032371258	-6.240228384149535e-16	18.0
13	70	0.8459122813714272	-3.736281003931803e-16	19.0
13	73	0.8453190859417051	-3.4108467832897074e-16	20.0
13	76	0.8411894378034777	-2.12078216243911e-16	21.0
13	79	0.8420219097993681	-3.5376938745322414e-16	22.0
13	82	0.8465785910940291	-4.621743993580794e-16	23.0
13	85	0.8451957564461935	-3.3945498539663223e-16	24.0
13	88	0.840182552663026	-3.679359422138438e-16	25.0
13	91	0.8423404453369917	-6.903741983360326e-16	26.0
13	94	0.8477212914078261	-6.35801037581073e-16	27.0
13	97	0.844842206104981	-6.816003503689384e-16	28.0
13	100	0.8385561173507373	-6.126281605990638e-16	29.0
13	103	0.8422703926206477	-7.097781051756128e-16	30.0
13	106	0.8508726372040503	-6.414628987098021e-16	31.0
13	109	0.8442797530413708	-5.233503202721229e-16	32.0
