r0	r1	Real	Imag
33	37	0.8338007421867041	5.593958091507612e-17	1.0
33	41	0.8335091941913104	2.435537935491273e-16	2.0
33	45	0.8371837938385068	2.3245634695147834e-16	3.0
33	49	0.8371118223769711	1.3833761823001751e-17	4.0
33	53	0.8355098937291071	-1.1831809700751691e-16	5.0
33	57	0.8378866071319969	3.2743088808911976e-16	6.0
33	61	0.8371239280149002	4.942312689102466e-16	7.0
33	65	0.8357826428055147	4.924574386905054e-16	8.0
33	69	0.8379610365615343	4.979128673557957e-16	9.0
33	73	0.8368669508819414	3.974631930502183e-16	10.0
33	77	0.8359442073140414	3.015286961629978e-16	11.0
33	81	0.8381908933255344	1.910320432691615e-16	12.0
33	85	0.8366804791458263	3.440933782792728e-17	13.0
33	89	0.8360023014718796	5.42618503384743e-17	14.0
33	93	0.8383189908938568	-5.1167187061684576e-17	15.0
33	97	0.8363022536908512	2.8097159147652256e-17	16.0
33	101	0.8361133978194007	1.7127197410325735e-16	17.0
33	105	0.8387924364207374	2.49658183606236e-16	18.0
33	109	0.8358396790338661	2.412027099856678e-17	19.0
33	113	0.8360970375325593	-1.190675724858946e-16	20.0
33	117	0.8393004533021364	-4.368243219621182e-17	21.0
33	121	0.8346767777182782	5.97989953818562e-17	22.0
33	125	0.8367461347088401	-1.3562579157515827e-16	23.0
34	38	0.8325657437970398	1.7483163988347062e-16	1.0
34	42	0.8323210867100215	1.0977893149460918e-16	2.0
34	46	0.8336686639733681	5.608955848701771e-17	3.0
34	50	0.8360280669426678	-1.0256217942593328e-17	4.0
34	54	0.8338820945449571	-1.472825636172724e-16	5.0
34	58	0.8345969651973091	-4.8133567993096106e-17	6.0
34	62	0.8361407366888544	-2.478474924913931e-16	7.0
34	66	0.833934311668412	-2.3731349575642385e-16	8.0
34	70	0.8348454275403783	-4.50643683232105e-16	9.0
34	74	0.8359683341075096	-3.1612203646637086e-16	10.0
34	78	0.8338238566878668	-3.681892012579911e-16	11.0
34	82	0.8351527354204848	-3.733703985301858e-16	12.0
34	86	0.8359607469751368	-4.748196126953507e-16	13.0
34	90	0.8336734201694448	-5.437925860917222e-16	14.0
34	94	0.8353636356749458	-5.787857940779621e-16	15.0
34	98	0.8358060795162711	-4.1101756952675e-16	16.0
34	102	0.8333867905768244	-5.373901734707818e-16	17.0
34	106	0.8358441195585524	-3.111687327619066e-16	18.0
34	110	0.8358392548898638	-2.1494521629230296e-16	19.0
34	114	0.8328962928803009	-2.0264312655349405e-16	20.0
34	118	0.8364325702613181	-2.694841403649982e-16	21.0
34	122	0.8354921655479933	-6.479258491007082e-17	22.0
34	126	0.8316385639584895	-9.988464720043463e-18	23.0
35	39	0.8338006606574966	-9.30726192353457e-17	1.0
35	43	0.8335089563811544	2.6592177084598078e-17	2.0
35	47	0.8371836432552144	1.754337126095881e-16	3.0
35	51	0.8371116872295662	-2.8380673558890496e-17	4.0
35	55	0.8355095963469287	-9.711873543002937e-17	5.0
35	59	0.8378862724879913	-2.0457665621342367e-16	6.0
35	63	0.8371236011135088	-1.029536807523178e-17	7.0
35	67	0.8357823103555194	2.843823351758906e-17	8.0
35	71	0.8379606993581008	3.538191981442098e-17	9.0
35	75	0.836866584109489	-1.9883604035880832e-17	10.0
35	79	0.8359438267881891	2.6224130294067383e-16	11.0
35	83	0.8381905097340079	2.8225500280530646e-16	12.0
35	87	0.8366801044878863	5.111362246023722e-17	13.0
35	91	0.8360019338125908	-7.673321954284938e-18	14.0
35	95	0.8383186189779593	9.113891563109465e-17	15.0
35	99	0.8363018826037035	2.5443028764861554e-17	16.0
35	103	0.8361130484983565	-2.4463512093418424e-17	17.0
35	107	0.8387921020804743	5.252198436963756e-17	18.0
35	111	0.835839367966007	4.5008927061678145e-17	19.0
35	115	0.8360967542515475	3.2805923139120195e-17	20.0
35	119	0.8393001938129291	-1.655456334762383e-16	21.0
35	123	0.834676551209641	-1.7354288422996975e-16	22.0
35	127	0.8367459533083321	9.989996916091709e-17	23.0
36	40	0.8325661162715509	3.355657181111754e-16	1.0
36	44	0.8323215681326978	4.466309921861704e-16	2.0
36	48	0.8336690057988531	4.773564526640545e-16	3.0
36	52	0.8360284180726163	6.007751912007703e-16	4.0
36	56	0.8338824838938209	3.993853091430063e-16	5.0
36	60	0.8345973928367484	3.2695480158137975e-16	6.0
36	64	0.8361411811751759	4.568965231603962e-16	7.0
36	68	0.8339347238894871	4.636177178323689e-16	8.0
36	72	0.8348458283242136	6.96479434846136e-16	9.0
36	76	0.8359687238853551	7.725758336022148e-16	10.0
36	80	0.8338242145694441	6.215383924330331e-16	11.0
36	84	0.8351530935877071	8.017376994223479e-16	12.0
36	88	0.8359610936745935	6.320957094346085e-16	13.0
36	92	0.8336737365110267	5.675716870135295e-16	14.0
36	96	0.8353639317807701	5.809048929238684e-16	15.0
36	100	0.8358063527617102	4.284229403761107e-16	16.0
36	104	0.8333870280129351	3.69170832076267e-16	17.0
36	108	0.8358443479711811	2.2259144045371396e-16	18.0
36	112	0.8358394633051845	3.0926505108213345e-16	19.0
36	116	0.832896472627323	1.2714805361915207e-16	20.0
36	120	0.8364327344250635	1.6564984479023433e-16	21.0
36	124	0.8354923147683117	-7.690089857503529e-17	22.0
36	128	0.8316387061902248	-3.583944216527684e-17	23.0
