r0	r1	Real	Imag
33	37	0.8339315918077732	-1.518194138588174e-16	1.0
33	41	0.8335142082640179	-5.805183973291955e-16	2.0
33	45	0.8373441898858285	-6.562742718074303e-16	3.0
33	49	0.8372403203889227	-3.74757556947666e-16	4.0
33	53	0.8355317594161952	-5.499738345034637e-16	5.0
33	57	0.8380753454677059	-3.383966727140977e-16	6.0
33	61	0.8372540631528036	-7.482090616780306e-17	7.0
33	65	0.8358143082292258	-8.303408330660873e-17	8.0
33	69	0.8381559934372209	3.5341831768240176e-17	9.0
33	73	0.8369792710359284	1.2182982748300932e-16	10.0
33	77	0.8359812546372588	-1.0370712329530659e-16	11.0
33	81	0.8383912410425656	-2.1634275837437875e-16	12.0
33	85	0.8367761287717993	-4.480033731298008e-17	13.0
33	89	0.8360389278642344	7.92379480074999e-17	14.0
33	93	0.8385056517296938	1.896203087685233e-16	15.0
33	97	0.8363698648583273	3.9714345735569683e-16	16.0
33	101	0.8361468689081237	5.107162574026844e-16	17.0
33	105	0.8389627736782249	4.884261024297202e-16	18.0
33	109	0.8358804453158322	6.252554520826431e-16	19.0
33	113	0.8361111487152771	5.743729841007108e-16	20.0
33	117	0.8394255718408005	6.795665654816166e-16	21.0
33	121	0.834680548006402	8.29765923736831e-16	22.0
33	125	0.8367345303933275	7.222540494330793e-16	23.0
