r0	r1	Real	Imag
33	37	-0.02540204454168476	1.8447049443537367e-14	1.0
33	41	-0.00970134819818753	1.5966828553759527e-14	2.0
33	45	0.0005863076949616769	-1.452006917479487e-14	3.0
33	49	0.006633729772796831	-6.918435008912427e-14	4.0
33	53	0.0050957993412955776	-1.1042012302339005e-13	5.0
33	57	0.0003875696392597734	-2.5338997393375973e-14	6.0
33	61	-0.0028851401659227326	1.8863155395315578e-13	7.0
33	65	-0.002687696553649971	7.889671446541235e-14	8.0
33	69	-0.0002683274356611603	-1.9255918474320177e-14	9.0
33	73	0.0017616509465697167	6.009401960424543e-14	10.0
33	77	0.0018044605793905277	2.875641619357744e-14	11.0
33	81	0.00028581603685925517	9.860374235864944e-14	12.0
33	85	-0.0011734492795209754	-1.6531047364320983e-14	13.0
33	89	-0.0013439816760442095	-3.2917236170442073e-13	14.0
33	93	-0.00031514347420889165	4.449377335753041e-13	15.0
33	97	0.0008304936824787623	1.7609638790563875e-13	16.0
33	101	0.0010869547226885143	1.9501764705063054e-13	17.0
33	105	0.00035182789821603733	2.2363016928712842e-13	18.0
33	109	-0.0006136909380918845	2.1688521204682454e-13	19.0
33	113	-0.0009336194450775966	1.938268135944811e-13	20.0
33	117	-0.0003794739514083709	6.225109403651397e-14	21.0
33	121	0.00048364920704380317	-1.459018995030037e-13	22.0
33	125	0.0008457890005013454	-2.5784120661048043e-13	23.0
