r0	r1	Real	Imag
33	37	0.1687256667223821	0.03269010434069425	1.0
33	41	0.10683954218525461	0.015738902231665238	2.0
33	45	0.09576732325467743	0.016244832157136544	3.0
33	49	0.08710233099132621	0.01950533166259986	4.0
33	53	0.07925455959876997	0.023739232433152315	5.0
33	57	0.07426115573906296	0.02749168306397518	6.0
33	61	0.06888152154621122	0.02969725882384816	7.0
33	65	0.06339186222067372	0.03271894928408092	8.0
33	69	0.059756690241614285	0.035634166430685406	9.0
33	73	0.05548203349986951	0.03715617391059311	10.0
33	77	0.050812315802241194	0.03944092170960459	11.0
33	81	0.04759534017735043	0.04168976280822487	12.0
33	85	0.043688495023088976	0.04252542554303711	13.0
33	89	0.039318964514000486	0.04417579769428526	14.0
33	93	0.036321884802955555	0.04586873715610736	15.0
33	97	0.03265705635669882	0.046028113723655395	16.0
33	101	0.028449843314087814	0.04707555498060876	17.0
33	105	0.02563156070638302	0.04816716820017077	18.0
33	109	0.022123246318229046	0.047453157917767656	19.0
33	113	0.017950287313265163	0.04790520125108937	20.0
33	117	0.015439232328673275	0.04851966489606951	21.0
33	121	0.01227566807608781	0.04677175301057145	22.0
33	125	0.00807965282015878	0.046627095598537394	23.0
